[2024-03-27T04:12:17.769+0000][0.005s][1][125][debug] Minimum heap 8254390272  Initial heap 8254390272  Maximum heap 8254390272
[2024-03-27T04:12:17.769+0000][0.005s][1][125][info ] Using G1
[2024-03-27T04:12:17.769+0000][0.005s][1][125][trace] Trying to allocate at address 0x0000000614000000 heap of size 0x1ec000000
[2024-03-27T04:12:17.769+0000][0.005s][1][125][debug] Heap address: 0x0000000614000000, size: 7872 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2024-03-27T04:12:17.772+0000][0.009s][1][125][debug] Expand the heap. requested expansion amount: 8254390272B expansion amount: 8254390272B
[2024-03-27T04:12:17.772+0000][0.009s][1][125][debug] Running G1 PreTouch with 10 workers for 1968 work units pre-touching 8254390272B.
[2024-03-27T04:12:18.136+0000][0.372s][1][125][debug] Running G1 PreTouch with 10 workers for 31 work units pre-touching 128974848B.
[2024-03-27T04:12:18.141+0000][0.378s][1][125][debug] Running G1 PreTouch with 10 workers for 31 work units pre-touching 128974848B.
[2024-03-27T04:12:18.147+0000][0.384s][1][125][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 16121856B.
[2024-03-27T04:12:18.149+0000][0.385s][1][125][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 16121856B.
[2024-03-27T04:12:18.152+0000][0.388s][1][125][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 16121856B.
[2024-03-27T04:12:18.156+0000][0.392s][1][125][debug] Activate regions [0, 492)
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2095: was 0x00000007fef55be0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2096: was 0x00000007fef5bb58
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2097: was 0x00000007fef55738
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2098: was 0x00000007fef59a38
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2099: was 0x00000007fef55af8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2100: was 0x00000007fef5ba70
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2101: was 0x00000007fef5b460
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2102: was 0x00000007fef60698
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2103: was 0x00000007fef621a8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2104: was 0x00000007fef60f20
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2105: was 0x00000007fef64f20
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2106: was 0x00000007fef65208
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2107: was 0x00000007fef5b968
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2108: was 0x00000007fef5b820
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2109: was 0x00000007fef5d940
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2110: was 0x00000007fef62b70
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2111: was 0x00000007fef5d6c8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2112: was 0x00000007fef5aca0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2113: was 0x00000007fef595d8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2114: was 0x00000007fef55a10
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2115: was 0x00000007fef5cba8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2116: was 0x00000007fef609e0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2117: was 0x00000007fef62f70
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2118: was 0x00000007fef590a8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2119: was 0x00000007fef62d18
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2120: was 0x00000007fef5bed8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2121: was 0x00000007fef63558
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2122: was 0x00000007fef63288
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2123: was 0x00000007fef65ea0
